ID,source_id,source_type,unix_time,date_time,text,translated,photo_video_id,duplicate,photofilename,processed,predicted
6255,tweet4574,X,0.0,2020-09-23 13:33:22,"Τεράστιες είναι στη Καρδίτσα οι ζημιές σε υποδομές και καλλιέργειες, ειδικά στο βαμβάκι. Η κυβέρνηση θα πρέπει άμεσα να καταβάλει αποζημιώσεις για να ανακουφίσει την τοπική κοινωνία και οικονομία και να της δώσει τη δυνατότητα να επανεκκινήσει το συντομότερο.
Στο @proto_programma https://t.co/DseSKuScu7","Τεράστιες είναι στη Καρδίτσα οι ζημιές σε υποδομές και καλλιέργειες, ειδικά στο βαμβάκι. Η κυβέρνηση θα πρέπει άμεσα να καταβάλει αποζημιώσεις για να ανακουφίσει την τοπική κοινωνία και οικονομία και να της δώσει τη δυνατότητα να επανεκκινήσει το συντομότερο.Στο @proto_programma",,,,τεράστιες είναι στη καρδίτσα οι ζημιές σε υποδομές και καλλιέργειες ειδικά στο βαμβάκι η κυβέρνηση θα πρέπει άμεσα να καταβάλει αποζημιώσεις για να ανακουφίσει την τοπική κοινωνία και οικονομία και να της δώσει τη δυνατότητα να επανεκκινήσει το συντομότερο στο proto_programma,1
6867,Flickr319,Flickr,,2020-10-18 11:15:30,Large waves crashing against the rocks at Lanzarote's north coast,Μεγάλα κύματα που συντρίβονται εναντίον των βράχων στη βόρεια ακτή του Lanzarote,50500370093,,50500370093.jpg,μεγάλα κύματα που συντρίβονται εναντίον των βράχων στη βόρεια ακτή του lanzarote,0
4885,tweet3204,X,0.0,2020-09-20 19:06:06,"Τι έγινε ρε φίλε στη Κεφαλονιά! Τραγικό. Αυτοκίνητα και σπίτι θαμενα στις πέτρες, δρομοι μετατράπηκαν σε ποτάμια,οι άνθρωποι άστεγοι να κοιμούνται στους δρόμους,καράβια συντρίμμια. 
#alphatv #alphanews #Ianos #ΙΑΝΟΣ #Κεφαλονιά #αγιαευφημια https://t.co/8vWaQv1S08","Τι έγινε ρε φίλε στη Κεφαλονιά! Τραγικό. Αυτοκίνητα και σπίτι θαμενα στις πέτρες, δρομοι μετατράπηκαν σε ποτάμια,οι άνθρωποι άστεγοι να κοιμούνται στους δρόμους,καράβια συντρίμμια. #alphatv #alphanews #Ianos #ΙΑΝΟΣ #Κεφαλονιά #αγιαευφημια",,,,τι έγινε ρε φίλε στη κεφαλονιά τραγικό αυτοκίνητα και σπίτι θαμενα στις πέτρες δρομοι μετατράπηκαν σε ποτάμια οι άνθρωποι άστεγοι να κοιμούνται στους δρόμους καράβια συντρίμμια alphatv alphanews ianos ιανος κεφαλονιά αγιαευφημια,1
6094,tweet4413,X,0.0,2020-09-23 08:29:55,ο καιρός είναι δε θέλω να σηκωθώ από το κρεβάτι και μετά μόνο βόλτα!#γουορκ😕,ο καιρός είναι δε θέλω να σηκωθώ από το κρεβάτι και μετά μόνο βόλτα!#γουορκ,,,,ο καιρός είναι δε θέλω να σηκωθώ από το κρεβάτι και μετά μόνο βόλτα γουορκ,0
1483,''2400245898924817914,instagram,1600351630.0,2020-09-17 14:07:10,Περιμένοντας τον #ιανο #calm #before #the #storm #Waiting #for #ianos #cyclon #karagatsis #book #bookcrossing #bluetopia_suites #mykonos #greece,Περιμένοντας τον #ιανο #calm #before #the #storm #Waiting #for #ianos #cyclon #karagatsis #book #bookcrossing #bluetopia_suites #mykonos #greece,,,119565981_3150801935031996_2072729128951700544_n.jpg,περιμένοντας τον ιανο calm before the storm waiting for ianos cyclon karagatsis book bookcrossing bluetopia_suites mykonos greece,0
5222,tweet3541,X,0.0,2020-09-21 10:57:43,Gráfico que muestra la trayectoria seguida por el #medicane #Ianos. @Stavros_Dafis informa que todavía están tratando de recuperar datos meteorológicos de áreas remotas que estaban dentro del ojo de Ianos. https://t.co/5mL5x9SWvf,Γράφημα που δείχνει την τροχιά που ακολουθείται από #Medicane #IANOS. Το @Stavros_dafis ενημερώνει ότι εξακολουθούν να προσπαθούν να ανακτήσουν δεδομένα καιρού από απομακρυσμένες περιοχές που βρίσκονταν μέσα στο μάτι του Theanos.,,,,γράφημα που δείχνει την τροχιά που ακολουθείται από medicane ianos το stavros_dafis ενημερώνει ότι εξακολουθούν να προσπαθούν να ανακτήσουν δεδομένα καιρού από απομακρυσμένες περιοχές που βρίσκονταν μέσα στο μάτι του theanos,0
969,''2400870787205734505,instagram,1600426122.0,2020-09-18 10:48:42,"El #Medicane #Ianos ya entró sobre las islas griegas hoy. Un MEDIterranean hurriCANE trae condiciones huracanadas, y son fenómenos que ocurren tal vez 1 al año o cada dos años en el Mar Mediterráneo. \nPuede leer más de World Meteorological Organization @wmo_omm bit.ly/3caGzz5\nImagen: EUMETSAT",Το #Medicane #IANOS έχει ήδη εισέλθει στα ελληνικά νησιά σήμερα. Ένας μεσογειακός τυφώνας φέρνει συνθήκες τυφώνα και είναι φαινόμενα που συμβαίνουν ίσως 1 ετησίως ή κάθε δύο χρόνια στη Μεσόγειο Θάλασσα. \ npue Διαβάστε περισσότερα από την παγκόσμια μετεωρολογική οργάνωση @wmo_omm bit.ly/3cagzz5 \ nimage: eumetsat,,,119707199_739664903246194_2960397344515427996_n.jpg,το medicane ianos έχει ήδη εισέλθει στα ελληνικά νησιά σήμερα ένας μεσογειακός τυφώνας φέρνει συνθήκες τυφώνα και είναι φαινόμενα που συμβαίνουν ίσως 1 ετησίως ή κάθε δύο χρόνια στη μεσόγειο θάλασσα npue διαβάστε περισσότερα από την παγκόσμια μετεωρολογική οργάνωση wmo_omm bit ly 3cagzz5 nimage eumetsat,1
2371,tweet690,X,0.0,2020-09-17 20:40:32,@annamaria_84 @CopernicusEU @sentinel_hub @severeweatherEU @EEAthina @GSCP_GR @BBCAmos @andreabettini @amna_newseng @ScottDuncanWX @EKMeteo @Stavros_Dafis @eumetsat Here is the forecasted wave field fot the next hours. #medicane #Ianos,@Gscp_gr @bbcamos t ώρες. #Μινεδική ιατρική,,,,gscp_gr bbcamos t ώρες μινεδική ιατρική,0
4475,tweet2794,X,0.0,2020-09-20 09:30:13,Ρόδος - Καιρός Σήμερα. Η θερμοκρασία τώρα 25 °C (βαθμούς κελσίου ). Υγρασία 81 % . Ενημέρωση απο το https://t.co/rHz2QaR6zD #ρόδος #καιρός #ΡΟΔΙΑΚΗ #ενημέρωση #ειδησεις,Ρόδος - Καιρός Σήμερα. Η θερμοκρασία τώρα 25 °C (βαθμούς κελσίου ). Υγρασία 81 % . Ενημέρωση απο το #ρόδος #καιρός #ΡΟΔΙΑΚΗ #ενημέρωση #ειδησεις,,,,ρόδος καιρός σήμερα η θερμοκρασία τώρα 25 c βαθμούς κελσίου υγρασία 81 ενημέρωση απο το ρόδος καιρός ροδιακη ενημέρωση ειδησεις,0
2347,tweet666,X,0.0,2020-09-17 20:20:34,"#Medicane #Ianos in Mediterranean Sea 
Image acquired today 17 September by @CopernicusEU #Sentinel3 at 8:51 UTC

Image processed in @sentinel_hub https://t.co/PdW5dXWxav",#Medicane #IANOS στη Μεσόγειο Εικόνα Θάλασσας που αποκτήθηκε σήμερα 17 Σεπτεμβρίου από @Copernicuseu #Sentinel3 στις 8:51 UTCIMAGE που υποβλήθηκαν σε επεξεργασία στο @sentinel_hub,,,,medicane ianos στη μεσόγειο εικόνα θάλασσας που αποκτήθηκε σήμερα 17 σεπτεμβρίου από copernicuseu sentinel3 στις 8 51 utcimage που υποβλήθηκαν σε επεξεργασία στο sentinel_hub,0
