"ID","source_id","source_type","unix_time","date_time","text","translated","photo_video_id","duplicate","photofilename","processed","predicted","score","scored_value"
2615,"tweet934","X",0,"2020-09-18 08:44:17","ο Καιρός Στη Ζαγορά και το Πήλιο Σήμερα 18-09-2020 https://t.co/iqIP483emp","ο Καιρός Στη Ζαγορά και το Πήλιο Σήμερα 18-09-2020",,,,"ο καιρός στη ζαγορά και το πήλιο σήμερα 18 09 2020",0,"TN",0
5772,"tweet4091","X",0,"2020-09-22 12:37:28","Δήμος Μουζακίου:Υποβολή αιτήσεων αποζημίωσης από τους αγρότες για τις ζημιές - https://t.co/qhOOlO4Z0g https://t.co/UKEYYaEnFm","Δήμος Μουζακίου:Υποβολή αιτήσεων αποζημίωσης από τους αγρότες για τις ζημιές -",,,,"δήμος μουζακίου υποβολή αιτήσεων αποζημίωσης από τους αγρότες για τις ζημιές",1,"TP",1
6180,"tweet4499","X",0,"2020-09-23 11:25:18","Ο καιρός σήμερα - https://t.co/F5OsIJDtCT https://t.co/IUmCUr1sT4","Ο καιρός σήμερα -",,,,"ο καιρός σήμερα",0,"TN",0
6426,"tweet4745","X",0,"2020-09-23 19:59:15","Ζημιές σε αμπέλια στη Ν. Αγχίαλο https://t.co/5aIvXnBLUH","Ζημιές σε αμπέλια στη Ν. Αγχίαλο",,,,"ζημιές σε αμπέλια στη ν αγχίαλο",1,"TP",1
7006,"Flickr458","Flickr",,"2020-09-23 02:43:05","Medicane Ianos 2020 Mediterranean Hurricane","Medicane Ianos 2020 Μεσογειακός τυφώνας",50373832546,,"50373832546.jpg","medicane ianos 2020 μεσογειακός τυφώνας",0,"TN",0
4038,"tweet2357","X",0,"2020-09-19 15:48:00","Αυτοί μιλάνε για κέρδη και ζημιές, εμείς μιλάμε για ανθρώπινες ζωές! https://t.co/vfhV1Bhiy1","Αυτοί μιλάνε για κέρδη και ζημιές, εμείς μιλάμε για ανθρώπινες ζωές!",,,,"αυτοί μιλάνε για κέρδη και ζημιές εμείς μιλάμε για ανθρώπινες ζωές",1,"TP",1
6282,"tweet4601","X",0,"2020-09-23 14:17:33","eXofitsio: Καιρός: Μικρή άνοδος της θερμοκρασίας και αραιές ν... https://t.co/hr440AlK64","eXofitsio: Καιρός: Μικρή άνοδος της θερμοκρασίας και αραιές ν.",,,,"exofitsio καιρός μικρή άνοδος της θερμοκρασίας και αραιές ν",0,"TN",0
179,"''2404453863372665300","instagram",1600853258,"2020-09-23 09:27:38","Το ιδανικό θα ήταν κάθε νέος, κάθε απόδημος Καρδιτσιώτης να επιστρέψει μόνιμα στον τόπο του, να βοηθήσει όπως μπορεί και να αποκτήσει η πόλη ξανά ζωή. Χρειάζονται κίνητρα στους νέους, κάποια μέτρα ενίσχυσης και όχι απλά ανακούφισης των πληγέντων. Η οικονομία της περιοχής είχε ήδη πάρει την κατιούσα εδώ και χρόνια. Ελλείψει βαριάς βιομηχανίας και τουρισμού, η ανοικοδόμηση επιχειρήσεων και η δημιουργία πρόσφορου εδάφους για επενδύσεις θα προσέλκυε νέο κόσμο στην περιοχή, θα την ξαναζωντάνευε. Η Καρδίτσα χρειάζεται άμεσα προνομιακή μεταχείριση για να συνέλθει και να αντεπεξέλθει ειδεμή θα μετατραπεί σύντομα σε ένα κέντρο αβοήθητων ηλικιωμένων που ολοένα και περισσότερο θα γερνά. Δε σταματούμε την αναπαραγωγή ανατριχιαστικών, σκληρών εικόνων έως ότου φτάσουν και στον πιο μακρινό μας επισκέπτη, για να συναισθανθεί την κρισιμότητα της κατάστασης…\n\n#inkarditsa #instakarditsa #καρδίτσα #καρδιτσα #karditsalife #karditsa #karditsacity #karditsa_city #karditsara #ilovekarditsa #karditsa_love #ianos #cyclone #disaster #staystrong #thessaly #prayforkarditsa #visitkarditsa #mykarditsa #supportkarditsa #savekarditsa #savekarditsatoday","Το ιδανικό θα ήταν κάθε νέος, κάθε απόδημος Καρδιτσιώτης να επιστρέψει μόνιμα στον τόπο του, να βοηθήσει όπως μπορεί και να αποκτήσει η πόλη ξανά ζωή. Χρειάζονται κίνητρα στους νέους, κάποια μέτρα ενίσχυσης και όχι απλά ανακούφισης των πληγέντων. Η οικονομία της περιοχής είχε ήδη πάρει την κατιούσα εδώ και χρόνια. Ελλείψει βαριάς βιομηχανίας και τουρισμού, η ανοικοδόμηση επιχειρήσεων και η δημιουργία πρόσφορου εδάφους για επενδύσεις θα προσέλκυε νέο κόσμο στην περιοχή, θα την ξαναζωντάνευε. Η Καρδίτσα χρειάζεται άμεσα προνομιακή μεταχείριση για να συνέλθει και να αντεπεξέλθει ειδεμή θα μετατραπεί σύντομα σε ένα κέντρο αβοήθητων ηλικιωμένων που ολοένα και περισσότερο θα γερνά. Δε σταματούμε την αναπαραγωγή ανατριχιαστικών, σκληρών εικόνων έως ότου φτάσουν και στον πιο μακρινό μας επισκέπτη, για να συναισθανθεί την κρισιμότητα της κατάστασης…\n\n#inkarditsa #instakarditsa #καρδίτσα #καρδιτσα #karditsalife #karditsa #karditsacity #karditsa_city #karditsara #ilovekarditsa #karditsa_love #ianos #cyclone #disaster #staystrong #thessaly #prayforkarditsa #visitkarditsa #mykarditsa #supportkarditsa #savekarditsa #savekarditsatoday",,,"119950129_1040879192999056_5154957544680361281_n.jpg","το ιδανικό θα ήταν κάθε νέος κάθε απόδημος καρδιτσιώτης να επιστρέψει μόνιμα στον τόπο του να βοηθήσει όπως μπορεί και να αποκτήσει η πόλη ξανά ζωή χρειάζονται κίνητρα στους νέους κάποια μέτρα ενίσχυσης και όχι απλά ανακούφισης των πληγέντων η οικονομία της περιοχής είχε ήδη πάρει την κατιούσα εδώ και χρόνια ελλείψει βαριάς βιομηχανίας και τουρισμού η ανοικοδόμηση επιχειρήσεων και η δημιουργία πρόσφορου εδάφους για επενδύσεις θα προσέλκυε νέο κόσμο στην περιοχή θα την ξαναζωντάνευε η καρδίτσα χρειάζεται άμεσα προνομιακή μεταχείριση για να συνέλθει και να αντεπεξέλθει ειδεμή θα μετατραπεί σύντομα σε ένα κέντρο αβοήθητων ηλικιωμένων που ολοένα και περισσότερο θα γερνά δε σταματούμε την αναπαραγωγή ανατριχιαστικών σκληρών εικόνων έως ότου φτάσουν και στον πιο μακρινό μας επισκέπτη για να συναισθανθεί την κρισιμότητα της κατάστασης n n inkarditsa instakarditsa καρδίτσα καρδιτσα karditsalife karditsa karditsacity karditsa_city karditsara ilovekarditsa karditsa_love ianos cyclone disaster staystrong thessaly prayforkarditsa visitkarditsa mykarditsa supportkarditsa savekarditsa savekarditsatoday",1,"TP",1
1966,"tweet285","X",0,"2020-09-17 09:57:12","βάση εκτίμησης φαίνεται πως θα επηρεαστεί κυρίως Πελοπόννησος και Κρήτη, αλλά καλό είναι και στην Αθήνα από σήμερα το απόγευμα να μαζευτούν τέντες και να υπάρχει προσοχή. Δεν είναι πρωτοφανές, medicanes έχουμε ~3-4 φορές ανά δεκαετία, αλλά είναι απρόβλεπτοι #Ianos #medicane https://t.co/HZdQqbFwwJ","βάση εκτίμησης φαίνεται πως θα επηρεαστεί κυρίως Πελοπόννησος και Κρήτη, αλλά καλό είναι και στην Αθήνα από σήμερα το απόγευμα να μαζευτούν τέντες και να υπάρχει προσοχή. Δεν είναι πρωτοφανές, medicanes έχουμε ~3-4 φορές ανά δεκαετία, αλλά είναι απρόβλεπτοι #Ianos #medicane",,,,"βάση εκτίμησης φαίνεται πως θα επηρεαστεί κυρίως πελοπόννησος και κρήτη αλλά καλό είναι και στην αθήνα από σήμερα το απόγευμα να μαζευτούν τέντες και να υπάρχει προσοχή δεν είναι πρωτοφανές medicanes έχουμε 3 4 φορές ανά δεκαετία αλλά είναι απρόβλεπτοι ianos medicane",0,"TN",0
5346,"tweet3665","X",0,"2020-09-21 15:13:32","οι καταστροφές και οι ζημιές στις γέφυρες από την φθορά του χρόνου και από τα φυσικά φαινόμενα (υπερχείλιση ποταμών, ανατινάξεις από αντάρτες κλπ.) είναι πρώτης τάξεως ευκαιρία να δημιουργηθεί ταμείο διαχείρισης ώστε ο επενδυτής να επωφεληθεί κάνοντας μια νέα αρπαχτή

(ιδέα βάζω) https://t.co/klofjYKvCD","οι καταστροφές και οι ζημιές στις γέφυρες από την φθορά του χρόνου και από τα φυσικά φαινόμενα (υπερχείλιση ποταμών, ανατινάξεις από αντάρτες κλπ.) είναι πρώτης τάξεως ευκαιρία να δημιουργηθεί ταμείο διαχείρισης ώστε ο επενδυτής να επωφεληθεί κάνοντας μια νέα αρπαχτή(ιδέα βάζω)",,,,"οι καταστροφές και οι ζημιές στις γέφυρες από την φθορά του χρόνου και από τα φυσικά φαινόμενα υπερχείλιση ποταμών ανατινάξεις από αντάρτες κλπ είναι πρώτης τάξεως ευκαιρία να δημιουργηθεί ταμείο διαχείρισης ώστε ο επενδυτής να επωφεληθεί κάνοντας μια νέα αρπαχτή ιδέα βάζω",1,"TP",1
