ID,source_id,source_type,unix_time,date_time,text,translated,photo_video_id,duplicate,photofilename,processed,predicted
1815,tweet134,X,0.0,2020-09-16 18:30:00,🆘🆘🆘🌀🌀⚠️⛈⛈🌬🌬🌬🌬 #Ianos https://t.co/wDkUorDvox,#Ianos,,,,ianos,0
7803,YouTube446,YouTube,,2020-09-21T13:23:45Z,Cyclone Ianos: Drone shows &#39;medicane&#39; damage in Greece - BBC News Emergency services are helping to rescue hundreds of people trapped in flooded buildings in Greece. Cyclone Ianos has battered ...,Cyclone Ianos: Drone δείχνει &#39; Medicane &#39; ζημιά στην Ελλάδα - Ειδήσεις BBC Οι υπηρεσίες έκτακτης ανάγκης βοηθούν στη διάσωση εκατοντάδων ανθρώπων που παγιδεύονται σε πλημμυρισμένα κτίρια στην Ελλάδα. Ο κυκλώνας Ianos έχει κακοποιηθεί.,LPDxGQ-QGL8,1.0,na,cyclone ianos drone δείχνει 39 medicane 39 ζημιά στην ελλάδα ειδήσεις bbc οι υπηρεσίες έκτακτης ανάγκης βοηθούν στη διάσωση εκατοντάδων ανθρώπων που παγιδεύονται σε πλημμυρισμένα κτίρια στην ελλάδα ο κυκλώνας ianos έχει κακοποιηθεί,0
7659,YouTube302,YouTube,,2020-09-24T12:44:35Z,Ανακαλύφθηκε η σορός της αγνοούμενης στην Καρδίτσα | 24/09/2020 | ΕΡΤ Subscribe στην ΕΡΤ: http://bit.ly/ERTYT Στη γέφυρα Μαγουλίτσας στον δήμο Μουζακίου στην Καρδίτσα βρέθηκε σήμερα το ...,Ανακαλύφθηκε η σορός της αγνοούμενης στην Καρδίτσα | 24/09/2020 | ΕΡΤ Subscribe στην ΕΡΤ: Στη γέφυρα Μαγουλίτσας στον δήμο Μουζακίου στην Καρδίτσα βρέθηκε σήμερα το.,GK5-RbRAvLs,1.0,na,ανακαλύφθηκε η σορός της αγνοούμενης στην καρδίτσα 24 09 2020 ερτ subscribe στην ερτ στη γέφυρα μαγουλίτσας στον δήμο μουζακίου στην καρδίτσα βρέθηκε σήμερα το,0
4979,tweet3298,X,0.0,2020-09-20 22:55:26,Mañana me iba a poner guapa pero tengo que poner mil grapas y no se merecen mi belleza 💅🏻,"Αύριο θα με έκανα όμορφο, αλλά πρέπει να βάλω χίλιες συρραπτικές και δεν αξίζουν την ομορφιά μου",,,,αύριο θα με έκανα όμορφο αλλά πρέπει να βάλω χίλιες συρραπτικές και δεν αξίζουν την ομορφιά μου,0
1280,''2400969850358038554,instagram,1600437931.0,2020-09-18 14:05:31,Just natural look 😀! Enjoying windy weather with @dasharunic \nWelcome to sail in Greece! #⛵\n.\n.\n#amorgos #amorgosisland #thebigblue #highcoast #magicblue #wind #windyhairdontcare #windyhair #exploreisland #yessail #sailingholidays #sailingadventure #sailingcruising #wedontcare #beautiful #beauty #smile #happygirl #happiness #islandhopping #island #greekislands,Απλά φυσική εμφάνιση! Απολαμβάνοντας Windy Weather με @dasharunic \ nwelcome για να πλεύσει στην Ελλάδα! #\ n. \ n. \ n #amorgos #amorgosland #TheBigBlue #HighCoast #MagicBlue #Wind #WINDYHAIRDONTCARE #WINDYHAIR #EXPLOREISLAND #YESSAIL #SailingHholidays #SailingAdventure #SailingCruising #WINDCARE #BeAutuleUtheUty #SMileGILL νησί #greekislands,,,119648284_361685458573857_7903644779003259138_n.jpg,απλά φυσική εμφάνιση απολαμβάνοντας windy weather με dasharunic nwelcome για να πλεύσει στην ελλάδα n n n amorgos amorgosland thebigblue highcoast magicblue wind windyhairdontcare windyhair exploreisland yessail sailinghholidays sailingadventure sailingcruising windcare beautuleutheuty smilegill νησί greekislands,0
3891,tweet2210,X,0.0,2020-09-19 12:26:34,"τι λέτε για ένα κοτοπουλάκι χωριάτικο σαλτσαριστό στην κατσαρόλα με χυλοπίτες;
https://t.co/c450AaqvG1

νομίζω, ο καιρός το επιβάλλει... https://t.co/VAOHfDGm2i",τι λέτε για ένα κοτοπουλάκι χωριάτικο σαλτσαριστό στην κατσαρόλα με χυλοπίτες; ο καιρός το επιβάλλει.,,,,τι λέτε για ένα κοτοπουλάκι χωριάτικο σαλτσαριστό στην κατσαρόλα με χυλοπίτες ο καιρός το επιβάλλει,0
4782,tweet3101,X,0.0,2020-09-20 16:16:47,ΙΑΝΟΣ  [Κλικ και διαβάστε στο newsbomb] Ιανός: Ζημιές στο ΕΚΑΒ Κρήτης από την κακοκαιρία https://t.co/NusPGb6z1L,ΙΑΝΟΣ [Κλικ και διαβάστε στο newsbomb] Ιανός: Ζημιές στο ΕΚΑΒ Κρήτης από την κακοκαιρία,,,,ιανος κλικ και διαβάστε στο newsbomb ιανός ζημιές στο εκαβ κρήτης από την κακοκαιρία,0
4781,tweet3100,X,0.0,2020-09-20 16:16:04,κακοκαιρια ιανος  [Κλικ και διαβάστε στο iefimerida] Κακοκαιρία «Ιανός»:  #Κατολισθήσεις και σοβαρές ζημιές στη Γαύδο  https://t.co/ma4furMFMa,κακοκαιρια ιανος [Κλικ και διαβάστε στο iefimerida] Κακοκαιρία «Ιανός»: #Κατολισθήσεις και σοβαρές ζημιές στη Γαύδο,,,,κακοκαιρια ιανος κλικ και διαβάστε στο iefimerida κακοκαιρία ιανός κατολισθήσεις και σοβαρές ζημιές στη γαύδο,0
6955,Flickr407,Flickr,,2020-09-23 02:42:33,Medicane Ianos 2020 Mediterranean Hurricane,Medicane Ianos 2020 Μεσογειακός τυφώνας,50374017682,,50374017682.jpg,medicane ianos 2020 μεσογειακός τυφώνας,0
2757,tweet1076,X,0.0,2020-09-18 10:21:18,Κεφαλονιά: Ζημιές σε ολόκληρο το νησί και προβλήματα ηλεκτροδότησης προκάλεσε ο «Ιανός» - https://t.co/n0fzXnxLtw https://t.co/01yRaGbnoQ,Κεφαλονιά: Ζημιές σε ολόκληρο το νησί και προβλήματα ηλεκτροδότησης προκάλεσε ο «Ιανός» -,,,,κεφαλονιά ζημιές σε ολόκληρο το νησί και προβλήματα ηλεκτροδότησης προκάλεσε ο ιανός,0
5556,tweet3875,X,0.0,2020-09-22 01:14:21,"https://t.co/QJ2N1yTiX5 
Ο Καιρός Σήμερα Τρίτη 22 Σεπτεμβρίου",Ο Καιρός Σήμερα Τρίτη 22 Σεπτεμβρίου,,,,ο καιρός σήμερα τρίτη 22 σεπτεμβρίου,0
4629,tweet2948,X,0.0,2020-09-20 12:30:54,@FransNucera @Stavros_Dafis @eumetsat @Nowcasting_SAF Medicane ZORBAS in September 2018 resulted in similar destructive events in Greece and Turkey.,Fransnucera @stavros_dafis @eumetsat @nowcasting_saf medicane zorbas τον Σεπτέμβριο του 2018 είχε ως αποτέλεσμα παρόμοια καταστρεπτικά γεγονότα στην Ελλάδα και την Τουρκία.,,,,fransnucera stavros_dafis eumetsat nowcasting_saf medicane zorbas τον σεπτέμβριο του 2018 είχε ως αποτέλεσμα παρόμοια καταστρεπτικά γεγονότα στην ελλάδα και την τουρκία,0
7024,Flickr476,Flickr,,2020-09-23 01:44:35,Medicane Ianos 2020 Mediterranean Hurricane,Medicane Ianos 2020 Μεσογειακός τυφώνας,50373735636,,50373735636.jpg,medicane ianos 2020 μεσογειακός τυφώνας,0
4701,tweet3020,X,0.0,2020-09-20 13:57:59,Κάθε καιρός και η Ιερή του Εξέταση https://t.co/8Rr7lTk1jM via @politis_news,Κάθε καιρός και η Ιερή του Εξέταση via @politis_news,,,,κάθε καιρός και η ιερή του εξέταση via politis_news,0
6749,Flickr201,Flickr,,2020-09-07 15:49:24,Diese aufziehende Regenfront kam dem Darßer Weststrand bedrohlich nahe. Zum Glück ergoss sich das Meiste davon nicht am Strand.,"Αυτό το μέτωπο βροχής ήρθε απειλητικά κοντά στη δυτική παραλία. Ευτυχώς, τα περισσότερα από αυτά δεν έριξαν στην παραλία.",50316497912,,50316497912.jpg,αυτό το μέτωπο βροχής ήρθε απειλητικά κοντά στη δυτική παραλία ευτυχώς τα περισσότερα από αυτά δεν έριξαν στην παραλία,0
