"ID","source_id","source_type","unix_time","date_time","text","translated","photo_video_id","duplicate","photofilename","processed","predicted","score",,"scored_value"
1512,"''2400734923040251408","instagram",1600409926,"2020-09-18 06:18:46","#ianos #medicane #evrytaniaweather","#ianos #Medicane #Evrytaniaweather",,,"119558196_3337460636315702_1575499655752541519_n.jpg","ianos medicane evrytaniaweather",0,"TN",,0
4511,"tweet2830","X",0,"2020-09-20 10:12:03","Ανυπολόγιστες οι ζημιές από το φονικό πέρασμα του «Ιανού» – Νεκρός ο αγνοούμενος στην Καστανιά https://t.co/Qg9LMEMea6","Ανυπολόγιστες οι ζημιές από το φονικό πέρασμα του «Ιανού» – Νεκρός ο αγνοούμενος στην Καστανιά",,,,"ανυπολόγιστες οι ζημιές από το φονικό πέρασμα του ιανού νεκρός ο αγνοούμενος στην καστανιά",0,"TN",,0
1500,"''2400378402541529892","instagram",1600367425,"2020-09-17 18:30:25","Let me introduce you Ianos the sleepy lion!!!Perfect weather for a nap, don't you think?\n\n#velonact #handmade #crochet #amigurumi #sleepy #lion #lionamigurumi #ianos #sleepyweather #crochetholic #crochetlove #menwhocrochet #malecrocheters #patternby #bumbee_crochet #χειροποίητο #πλεκτό #κουκλάκι #λιοντάρι #Ιανός #καιρός_για_ύπνο","Let me introduce you Ianos the sleepy lion!!!Perfect weather for a nap, don't you think?\n\n#velonact #handmade #crochet #amigurumi #sleepy #lion #lionamigurumi #ianos #sleepyweather #crochetholic #crochetlove #menwhocrochet #malecrocheters #patternby #bumbee_crochet #χειροποίητο #πλεκτό #κουκλάκι #λιοντάρι #Ιανός #καιρός_για_ύπνο",,,"119561030_660315577947411_6070915876201037114_n.jpg","let me introduce you ianos the sleepy lion perfect weather for a nap don t you think n n velonact handmade crochet amigurumi sleepy lion lionamigurumi ianos sleepyweather crochetholic crochetlove menwhocrochet malecrocheters patternby bumbee_crochet χειροποίητο πλεκτό κουκλάκι λιοντάρι ιανός καιρός_για_ύπνο",0,"TN","TRANSLATE PROPERLY",0
6637,"Flickr89","Flickr",,"2020-09-25 09:11:31","A gloomy bleak day on Dartmoor near Postbridge. Canon EOS 77D | f10 | 1/320 | ISO 400 | 400mm | EF100-400mm f/4.5-5.6L IS USM","Μια ζοφερή ζοφερή μέρα στο Dartmoor κοντά στο Postbridge. Canon EOS 77D | F10 | 1/320 | ISO 400 | 400mm | EF100-400mm f/4.5-5.6L είναι USM",50381885477,,"50381885477.jpg","μια ζοφερή ζοφερή μέρα στο dartmoor κοντά στο postbridge canon eos 77d f10 1 320 iso 400 400mm ef100 400mm f 4 5 5 6l είναι usm",0,"TN",,0
2423,"tweet742","X",0,"2020-09-17 21:59:51","Not quite sure if this ever happened before in modern history but according to latest #ECMWF model run #medicane #Ianos is a textbook example of a #tropical #cyclone near the coast of #Greece, because this is 2020 ....
#Ιανός #Ιανος @EUMeTrain #EUMETSAT https://t.co/k6nm0vIFID","Δεν είμαι σίγουρος αν αυτό συνέβη ποτέ πριν στη σύγχρονη ιστορία, αλλά σύμφωνα με το τελευταίο μοντέλο #ECMWF #Medicane #IANOS είναι ένα παράδειγμα εγχειριδίου ενός #Tropical #CyClone κοντά στην ακτή του #Greece, γιατί αυτό είναι το 2020. #EUMETSAT",,,,"δεν είμαι σίγουρος αν αυτό συνέβη ποτέ πριν στη σύγχρονη ιστορία αλλά σύμφωνα με το τελευταίο μοντέλο ecmwf medicane ianos είναι ένα παράδειγμα εγχειριδίου ενός tropical cyclone κοντά στην ακτή του greece γιατί αυτό είναι το 2020 eumetsat",1,"FN","*",0
8115,"YouTube758","YouTube",,"2020-09-20T13:08:08Z","Tropics update: Tropical Storm Beta nears in the Gulf We have gone Greek! We saw the addition of Alpha and Beta to the names being used for the 2020 hurricane season. Subscribe: ...","Ενημέρωση τροπικών: Η τροπική καταιγίδα βήτα πλησιάζει στον Κόλπο Έχουμε πάει ελληνικά! Είδαμε την προσθήκη άλφα και βήτα στα ονόματα που χρησιμοποιούνται για την εποχή του τυφώνα του 2020. Συνεισφέρω:.","xPYy-UiKNwo",1,"na","ενημέρωση τροπικών η τροπική καταιγίδα βήτα πλησιάζει στον κόλπο έχουμε πάει ελληνικά είδαμε την προσθήκη άλφα και βήτα στα ονόματα που χρησιμοποιούνται για την εποχή του τυφώνα του 2020 συνεισφέρω",1,"FN","TRANSLATE PROPERLY",0
435,"''2402311607043277904","instagram",1600597881,"2020-09-20 10:31:21","Ιανος 📸 @george_psimoulakis #photoekriti #crete #herklion #ianos","Ιανος @george_psimoulakis #photoekriti #crete #herklion #ianos",,,"119860212_329323948163874_3952036917501303772_n.jpg","ιανος george_psimoulakis photoekriti crete herklion ianos",0,"TN",,0
6351,"tweet4670","X",0,"2020-09-23 16:30:22","@teregamwt Πανω απο 1500 κλησεις περυσι για να περασει κλιμακιο να ελεγξει για τις ζημιες απ τον σεισμο εγω ειπα φιλακια στον γιο του αντιδημαρχου ...","teregamwt Πανω απο 1500 κλησεις περυσι για να περασει κλιμακιο να ελεγξει για τις ζημιες απ τον σεισμο εγω ειπα φιλακια στον γιο του αντιδημαρχου.",,,,"teregamwt πανω απο 1500 κλησεις περυσι για να περασει κλιμακιο να ελεγξει για τις ζημιες απ τον σεισμο εγω ειπα φιλακια στον γιο του αντιδημαρχου",0,"TN",,0
3937,"tweet2256","X",0,"2020-09-19 13:18:10","@nikosKaranikas4 Ευτυχώς Νίκο που ο καιρός,ο ιός και οι Τούρκοι κάνουν αντιπολίτευση στην κυβέρνηση, εσείς απλά χτυπάτε παλαμάκια.","nikosKaranikas4 Ευτυχώς Νίκο που ο καιρός,ο ιός και οι Τούρκοι κάνουν αντιπολίτευση στην κυβέρνηση, εσείς απλά χτυπάτε παλαμάκια.",,,,"nikoskaranikas4 ευτυχώς νίκο που ο καιρός ο ιός και οι τούρκοι κάνουν αντιπολίτευση στην κυβέρνηση εσείς απλά χτυπάτε παλαμάκια",0,"TN",,0
7173,"Flickr625","Flickr",,"2020-10-30 08:29:49","On my way North through Scotland, the main road was closed and we where diverted through a small pass over the mountains. We where taken in convoy as there where no passing places.","Στο δρόμο μου βόρεια μέσω της Σκωτίας, ο κεντρικός δρόμος έκλεισε και εμείς όπου εκτρέπεται μέσα από ένα μικρό πέρασμα πάνω από τα βουνά. Εμείς όπου πήραμε τη συνοδεία, όπως εκεί όπου δεν υπάρχουν θέσεις.",50546707296,,"50546707296.jpg","στο δρόμο μου βόρεια μέσω της σκωτίας ο κεντρικός δρόμος έκλεισε και εμείς όπου εκτρέπεται μέσα από ένα μικρό πέρασμα πάνω από τα βουνά εμείς όπου πήραμε τη συνοδεία όπως εκεί όπου δεν υπάρχουν θέσεις",0,"TN",,0
