ID,source_id,source_type,unix_time,date_time,text,translated,photo_video_id,duplicate,photofilename,processed,predicted,score
2916,tweet1235,X,0.0,2020-09-18 12:30:01,"Να ξέρετε, αυτός ο καιρός είναι ο αγαπημένος μου. 🌫","Να ξέρετε, αυτός ο καιρός είναι ο αγαπημένος μου.",,,,να ξέρετε αυτός ο καιρός είναι ο αγαπημένος μου,0,TN
1660,''2395420134087210590,instagram,1599776354.0,2020-09-10 22:19:14,#dimoula #ianos,#dimoula #ianos,,,119216784_641713436766472_4988706663588650912_n.jpg,dimoula ianos,1,TP
1725,tweet44,X,0.0,2020-09-14 14:42:34,"Charlotte’s Web Holdings: Ζημιές 14,4 εκατ. δολάρια στο β΄τρίμηνο https://t.co/Xxt134U79M https://t.co/Eh5I0eY9tS","Charlotte’s Web Holdings: Ζημιές 14,4 εκατ. δολάρια στο β΄τρίμηνο",,,,charlotte s web holdings ζημιές 14 4 εκατ δολάρια στο β τρίμηνο,0,TN
1083,''2401507697846404838,instagram,1600502048.0,2020-09-19 07:54:08,The calm before the storm #ianos #september #itsarainyday☔️,Η ηρεμία πριν από την καταιγίδα #IANOS #SEPTEMBER #ItsArainyDay,,,119701202_126850065491087_7639845943100391922_n.jpg,η ηρεμία πριν από την καταιγίδα ianos september itsarainyday,0,TN
4065,tweet2384,X,0.0,2020-09-19 16:27:45,"Ιανός : Θρήνος για τους 2 νεκρούς, αγωνία για τους 2 αγνοούμενους – Ανυπολόγιστες ζημιές και διασώσεις που κόβουν την ανάσα https://t.co/3WxOWAe9yS https://t.co/iYIdt1XNaB","Ιανός : Θρήνος για τους 2 νεκρούς, αγωνία για τους 2 αγνοούμενους – Ανυπολόγιστες ζημιές και διασώσεις που κόβουν την ανάσα",,,,ιανός θρήνος για τους 2 νεκρούς αγωνία για τους 2 αγνοούμενους ανυπολόγιστες ζημιές και διασώσεις που κόβουν την ανάσα,0,TN
7327,Flickr779,Flickr,,2020-09-08 10:13:47,"Two bicycle driver are talking to each other in Zurich, Switzerland",Δύο οδηγός ποδηλάτου μιλούν ο ένας στον άλλο στη Ζυρίχη της Ελβετίας,50319354401,,50319354401.jpg,δύο οδηγός ποδηλάτου μιλούν ο ένας στον άλλο στη ζυρίχη της ελβετίας,0,TN
6403,tweet4722,X,0.0,2020-09-23 19:04:37,Στέλιος Πέτσας: Πάνω από 100 εκατ. ευρώ θα δοθούν στην Καρδίτσα για τις ζημιές - https://t.co/HR6ywlS8jm https://t.co/6Hoaoqe01k,Στέλιος Πέτσας: Πάνω από 100 εκατ. ευρώ θα δοθούν στην Καρδίτσα για τις ζημιές -,,,,στέλιος πέτσας πάνω από 100 εκατ ευρώ θα δοθούν στην καρδίτσα για τις ζημιές,0,TN
4359,tweet2678,X,0.0,2020-09-20 01:53:34,Πέρασαν 14 κιόλας; Ρε πώς περνάει ο καιρός! Χαλάρωσε. Ο Κυριάκος έχει άλλους 82 μήνες τουλάχιστον μπροστά του κι έχει ο Θεός! Υπομονή!,Πέρασαν 14 κιόλας; Ρε πώς περνάει ο καιρός! Χαλάρωσε. Ο Κυριάκος έχει άλλους 82 μήνες τουλάχιστον μπροστά του κι έχει ο Θεός! Υπομονή!,,,,πέρασαν 14 κιόλας ρε πώς περνάει ο καιρός χαλάρωσε ο κυριάκος έχει άλλους 82 μήνες τουλάχιστον μπροστά του κι έχει ο θεός υπομονή,0,TN
4710,tweet3029,X,0.0,2020-09-20 14:13:11,Ηλεία: Αλλάζει ο καιρός - Αυξημένες νεφώσεις σήμερα https://t.co/BBE8I499Ky https://t.co/wijubexvEm,Ηλεία: Αλλάζει ο καιρός - Αυξημένες νεφώσεις σήμερα,,,,ηλεία αλλάζει ο καιρός αυξημένες νεφώσεις σήμερα,0,TN
2031,tweet350,X,0.0,2020-09-17 13:19:49,Now this is just insane... #medicane #Cassilda #Ianos #Greece https://t.co/ihXUOaYgEn,Τώρα αυτό είναι απλώς τρελό. #Medicane #Cassilda #ianos #greece,,,,τώρα αυτό είναι απλώς τρελό medicane cassilda ianos greece,1,TP
