ID,source_id,source_type,unix_time,date_time,text,translated,photo_video_id,duplicate,photofilename,processed,predicted
3741,tweet2060,X,0.0,2020-09-19 10:14:33,"#Κακοκαιρία «#Ιανός:
Νεκρή γυναίκα στα Φάρσαλα- Δύο αγνοούμενοι στην Καρδίτσα:
https://t.co/1zI4FMVJch 
#καιρος #κλιμα #καταστροφες",#Κακοκαιρία «#Ιανός:Νεκρή γυναίκα στα Φάρσαλα- Δύο αγνοούμενοι στην Καρδίτσα: #καιρος #κλιμα #καταστροφες,,,,κακοκαιρία ιανός νεκρή γυναίκα στα φάρσαλα δύο αγνοούμενοι στην καρδίτσα καιρος κλιμα καταστροφες,0
2310,tweet629,X,0.0,2020-09-17 19:34:09,"ΠΡΟΣΟΧΗ. 

125-130km/h άνεμοι τα ξημέρωμα της Παρασκευής !! #MedicaneIanos #Ιανος #ianos #greece #medicane #sos #kefalonia #zakynthos #ionianisland https://t.co/jfz1kEm6EG",ΠΡΟΣΟΧΗ. 125-130km/h άνεμοι τα ξημέρωμα της Παρασκευής !! #MedicaneIanos #Ιανος #ianos #greece #medicane #sos #kefalonia #zakynthos #ionianisland,,,,προσοχη 125 130km h άνεμοι τα ξημέρωμα της παρασκευής medicaneianos ιανος ianos greece medicane sos kefalonia zakynthos ionianisland,0
5294,tweet3613,X,0.0,2020-09-21 12:58:05,Αποκαταστάθηκαν όλες οι ζημιές https://t.co/P2f5xrR1gp,Αποκαταστάθηκαν όλες οι ζημιές,,,,αποκαταστάθηκαν όλες οι ζημιές,0
4648,tweet2967,X,0.0,2020-09-20 12:59:51,"#Greece #Medicane #Ianos Assos village on the island of Kefalonia, western Greece 😳😳😳 https://t.co/4u5UOJuO0A","#Greece #Medicane #IANOS ASSOS Village στο νησί της Κεφαλονίας, Δυτική Ελλάδα",,,,greece medicane ianos assos village στο νησί της κεφαλονίας δυτική ελλάδα,0
7267,Flickr719,Flickr,,2020-09-06 14:09:09,Taken with a Nikon FE.,Λήψη με Nikon Fe.,50312140902,,50312140902.jpg,λήψη με nikon fe,0
4225,tweet2544,X,0.0,2020-09-19 20:37:02,Grecia uragano Ianos colpisce la Tessaglia: 2 morti -  #Grecia #uragano #Ianos #colpisce  https://t.co/gqymu2SGNO,Η Ελλάδα Iragano Ianos χτυπά Tessaglia: 2 Dead - #gree #uragano #ianos #colpisters,,,,η ελλάδα iragano ianos χτυπά tessaglia 2 dead gree uragano ianos colpisters,1
1821,tweet140,X,0.0,2020-09-16 18:51:24,"Όλα τα είχαμε, ο #Ianos #Ιανός μας έλειπε! Άμα σου εύχεται καλή δύναμη ο Χαρδαλιάς σε έκτακτο δελτίο, κατάλαβες τι έχει να γίνει...","Όλα τα είχαμε, ο #Ianos #Ιανός μας έλειπε! Άμα σου εύχεται καλή δύναμη ο Χαρδαλιάς σε έκτακτο δελτίο, κατάλαβες τι έχει να γίνει.",,,,όλα τα είχαμε ο ianos ιανός μας έλειπε άμα σου εύχεται καλή δύναμη ο χαρδαλιάς σε έκτακτο δελτίο κατάλαβες τι έχει να γίνει,0
6307,tweet4626,X,0.0,2020-09-23 15:15:40,Καιρός: Έκτακτο δελτίο καιρού σε ισχύ με καταιγίδες στο Ιόνιο - Όλοι οι χάρτες https://t.co/az33Z8E1Ol,Καιρός: Έκτακτο δελτίο καιρού σε ισχύ με καταιγίδες στο Ιόνιο - Όλοι οι χάρτες,,,,καιρός έκτακτο δελτίο καιρού σε ισχύ με καταιγίδες στο ιόνιο όλοι οι χάρτες,1
6418,tweet4737,X,0.0,2020-09-23 19:40:08,Καιρός αύριο: Επιστρέφουν οι πλημμύρες #– Που θα πέσουν #– #aurio #Epistrefoun #kairos #Oi #pesoun #plimmures #pou #Tha - https://t.co/yLvRVbSBMN https://t.co/7KicGjLhOV,Καιρός αύριο: Επιστρέφουν οι πλημμύρες #– Που θα πέσουν #– #aurio #Epistrefoun #kairos #Oi #pesoun #plimmures #pou #Tha -,,,,καιρός αύριο επιστρέφουν οι πλημμύρες που θα πέσουν aurio epistrefoun kairos oi pesoun plimmures pou tha,1
3913,tweet2232,X,0.0,2020-09-19 12:46:03,"Ο ""Ιανός"" μετέτρεψε σε λίμνη την Καρδίτσα - Ανυπολόγιστες ζημιές https://t.co/XZc7RVACEk","Ο ""Ιανός"" μετέτρεψε σε λίμνη την Καρδίτσα - Ανυπολόγιστες ζημιές",,,,ο ιανός μετέτρεψε σε λίμνη την καρδίτσα ανυπολόγιστες ζημιές,0
4144,tweet2463,X,0.0,2020-09-19 18:26:47,"🇬🇷Dos fallecidos y un desaparecido por el temporal provocado en Grecia por el #Medicane #Ianos

Cientos de personas han tenido que ser rescatadas.

https://t.co/YEkcNYPQuU",Δύο νεκρός και ένας εξαφανίστηκε από την καταιγίδα που προκλήθηκε στην Ελλάδα από το #Medicane #IANOS εκατοντάδες άνθρωποι έπρεπε να διασωθούν.,,,,δύο νεκρός και ένας εξαφανίστηκε από την καταιγίδα που προκλήθηκε στην ελλάδα από το medicane ianos εκατοντάδες άνθρωποι έπρεπε να διασωθούν,0
2931,tweet1250,X,0.0,2020-09-18 12:51:38,@thanou_sonia @Ethernewsdotcom Καιρός ήταν να βάλουν φρένα στην σχιζοφρένεια αυτή,thanou_sonia @Ethernewsdotcom Καιρός ήταν να βάλουν φρένα στην σχιζοφρένεια αυτή,,,,thanou_sonia ethernewsdotcom καιρός ήταν να βάλουν φρένα στην σχιζοφρένεια αυτή,0
266,''2401492043982455499,instagram,1600500182.0,2020-09-19 07:23:02,Here comes the rain again ☔🌧️☕\n#coffeesgr #coffees #mycoffee #espresso #cappuccino #espressogreece #latte #friday #fridaycoffee #tgif #coffeelover #lovecoffee #cosycoffee #fridaysaremadeforcoffee #espressolover #espresso #cappuccino #espressogreece #rain #autumn #ianos,Εδώ έρχεται η βροχή και πάλι \ n #coffeesgr #coffees #mycoffee #espresso #cappuccino #espressogreece #latte #friday #fridaycoffee #tgif #coffeelover #lovecoffee #cosycoffee #fridaysareCeforCoffee #ESPRINGOUROURO #CAPPCONECRIECREACECECECEOVECEOVEROVECEOVEROVECEOVEROVEOCE #,,,119895867_666796893945783_6261435821190870789_n.jpg,εδώ έρχεται η βροχή και πάλι n coffeesgr coffees mycoffee espresso cappuccino espressogreece latte friday fridaycoffee tgif coffeelover lovecoffee cosycoffee fridaysareceforcoffee espringourouro cappconecriecreacecececeoveceoveroveceoveroveceoveroveoce,0
5267,tweet3586,X,0.0,2020-09-21 12:13:35,O καιρός τις επόμενες ημέρες στην Αιτωλοακαρνανία - https://t.co/KrViuHzZep https://t.co/teKUGMJaer,O καιρός τις επόμενες ημέρες στην Αιτωλοακαρνανία -,,,,o καιρός τις επόμενες ημέρες στην αιτωλοακαρνανία,1
7170,Flickr622,Flickr,,2020-10-15 13:53:48,OLYMPUS DIGITAL CAMERA,Digital Camera Olympus,50489410646,,50489410646.jpg,digital camera olympus,0
