"ID","source_id","source_type","unix_time","date_time","text","translated","photo_video_id","duplicate","photofilename","processed","predicted","score",
7342,"Flickr794","Flickr",,"2020-10-03 12:41:38","What to do on a stormy day?

Go to the beach and photograph the lighthouse.

Wind was gusting around 45-52 mph (according to forecast), hard to stand straight, sandstorm on the beach, sand stinging my face, trying to protect the camera &amp; lens, difficult to hold the camera steady, challenging changing lenses, took 100s of shots trying to get the best waves.

© All my images are copyright. Please respect copyright.

Thank you.","Τι να κάνετε σε μια θυελλώδη μέρα; Πηγαίνετε στην παραλία και φωτογραφίστε το φάρο. κάμερα & amp; Ο φακός, δύσκολο να συγκρατήσει την κάμερα σταθερή, προκλητική μεταβαλλόμενες φακούς, πήρε 100s από βολές προσπαθώντας να πάρει τα καλύτερα κύματα. Όλες οι εικόνες μου είναι πνευματικά δικαιώματα. Σεβαστείτε τα πνευματικά δικαιώματα. Σας ευχαριστώ.",50411684921,,"50411684921.jpg","τι να κάνετε σε μια θυελλώδη μέρα πηγαίνετε στην παραλία και φωτογραφίστε το φάρο κάμερα amp ο φακός δύσκολο να συγκρατήσει την κάμερα σταθερή προκλητική μεταβαλλόμενες φακούς πήρε 100s από βολές προσπαθώντας να πάρει τα καλύτερα κύματα όλες οι εικόνες μου είναι πνευματικά δικαιώματα σεβαστείτε τα πνευματικά δικαιώματα σας ευχαριστώ",0,"TN",
2964,"tweet1283","X",0,"2020-09-18 13:22:54","#Ianos housemartins desperate to find shelter https://t.co/ZTYizsrDsV","#Ianos housemartins απελπισμένοι να βρουν καταφύγιο",,,,"ianos housemartins απελπισμένοι να βρουν καταφύγιο",0,"TN",
3169,"tweet1488","X",0,"2020-09-18 17:00:53","⚠️🌀 Efectos del #Medicane #Ianos en la Isla de #Kefalonia ( #Grecia) debido a las rachas muy fuertes de #viento sobre el oleaje.","Επιδράσεις του #Medicane #IANOS στο νησί #KeFalonia (#GRECIA) λόγω πολύ ισχυρών ραβδώσεων #Viente στα κύματα.",,,,"επιδράσεις του medicane ianos στο νησί kefalonia grecia λόγω πολύ ισχυρών ραβδώσεων viente στα κύματα",0,"TN",
1852,"tweet171","X",0,"2020-09-16 20:40:15","Τον κώδωνα του κινδύνου για ζημιές από τον «Ιανό» έκρουσε ο Ν. Χαρδαλιάς - Πού θα χτυπήσει η κακοκαιρία, τι πρέπει να κάνουν οι πολίτες.
https://t.co/EdVAbHjuVF","Τον κώδωνα του κινδύνου για ζημιές από τον «Ιανό» έκρουσε ο Ν. Χαρδαλιάς - Πού θα χτυπήσει η κακοκαιρία, τι πρέπει να κάνουν οι πολίτες.",,,,"τον κώδωνα του κινδύνου για ζημιές από τον ιανό έκρουσε ο ν χαρδαλιάς πού θα χτυπήσει η κακοκαιρία τι πρέπει να κάνουν οι πολίτες",0,"TN",
6164,"tweet4483","X",0,"2020-09-23 10:51:48","Έχει αυτή τη θερμοκρασία που αν στο κρεβάτι βάλω κουβέρτα θα σκάσω απο τη ζέστη κι αν δεν βάλω θα ξεπαγιάσω. Αυτός δεν είναι καιρός, τα ερωτικά μου είναι.","Έχει αυτή τη θερμοκρασία που αν στο κρεβάτι βάλω κουβέρτα θα σκάσω απο τη ζέστη κι αν δεν βάλω θα ξεπαγιάσω. Αυτός δεν είναι καιρός, τα ερωτικά μου είναι.",,,,"έχει αυτή τη θερμοκρασία που αν στο κρεβάτι βάλω κουβέρτα θα σκάσω απο τη ζέστη κι αν δεν βάλω θα ξεπαγιάσω αυτός δεν είναι καιρός τα ερωτικά μου είναι",0,"TN",
4407,"tweet2726","X",0,"2020-09-20 07:57:05","@AvgiOnline Θα καταγράψουν ζημιές καί προβληματα . Στη συνέχεια θα συζητηθεί η άμεση αντιμετώπιση τους. Έχουν εμπειρία και Δουρου.","AvgiOnline Θα καταγράψουν ζημιές καί προβληματα . Στη συνέχεια θα συζητηθεί η άμεση αντιμετώπιση τους. Έχουν εμπειρία και Δουρου.",,,,"avgionline θα καταγράψουν ζημιές καί προβληματα στη συνέχεια θα συζητηθεί η άμεση αντιμετώπιση τους έχουν εμπειρία και δουρου",0,"TN",
796,"''2400704704638028361","instagram",1600406323,"2020-09-18 05:18:43","Stay safe my friends.\nHope the storm will pass🙏\n#stormianos #ianos","Μείνετε ασφαλείς φίλοι μου.\nΕλπίζω η καταιγίδα να περάσει🙏\n#stormianos #ianos",,,"119726025_3519752801397743_8969208459168467948_n.jpg","μείνετε ασφαλείς φίλοι μου nελπίζω η καταιγίδα να περάσει n stormianos ianos",0,"TN",
3303,"tweet1622","X",0,"2020-09-18 19:23:40","@Ioannis_Nikitas @DefenceReviewGr Καιρός ήταν να ανανεωθεί ο εξοπλισμός της ΥΑΤ. Τόσα και τόσα τραβάνε και είχαν τον ίδιο εξοπλισμό για πολλά χρόνια. Μπράβο στην ηγεσία!👏🚔","Ioannis_Nikitas @DefenceReviewGr Καιρός ήταν να ανανεωθεί ο εξοπλισμός της ΥΑΤ. Τόσα και τόσα τραβάνε και είχαν τον ίδιο εξοπλισμό για πολλά χρόνια. Μπράβο στην ηγεσία!",,,,"ioannis_nikitas defencereviewgr καιρός ήταν να ανανεωθεί ο εξοπλισμός της υατ τόσα και τόσα τραβάνε και είχαν τον ίδιο εξοπλισμό για πολλά χρόνια μπράβο στην ηγεσία",0,"TN",
1170,"''2400875211787668180","instagram",1600426650,"2020-09-18 10:57:30","#nafpaktos #lepanto #castle #port #rain #ianos #cyclone #greece #instalove #instaphoto #picoftheday","#nafpaktos #lepanto #castle #port #Rain #IANOS #CYCLONE #GREECE #INSTALOVE #INSTAPHOTO #PICOFTHEDAY",,,"119673356_130661328766181_8561840813941122417_n.jpg","nafpaktos lepanto castle port rain ianos cyclone greece instalove instaphoto picoftheday",0,"TN",
5051,"tweet3370","X",0,"2020-09-21 05:34:03","Three dead after rare #Mediterranean #storm batters #Greece / #medicane #Ianos #Karditsa 

https://t.co/cm7p1rBGyB","Τρεις νεκροί μετά από σπάνια #MedIterranean #Storm Batters #Greece / #Medicane #ianos #karditsa",,,,"τρεις νεκροί μετά από σπάνια mediterranean storm batters greece medicane ianos karditsa",0,"TN",
4950,"tweet3269","X",0,"2020-09-20 21:54:24","🎶Αν θες να δεις τα θαύματα να παίρνουνε μορφή
Ράψε όλα σου τα τραύματα μόνος με μιας ψυχής κλωστή

Φεύγει χαμένος ο καιρός
Είναι ο χρόνος ο πιο ύπουλος εχθρός
Πιάσε απ το χέρι τη ζωή
Κι αν το σκοτάδι είναι γύρω σου βαθύ
Ο ήλιος πάλι θα βγει🎶","Αν θες να δεις τα θαύματα να παίρνουνε μορφήΡάψε όλα σου τα τραύματα μόνος με μιας ψυχής κλωστήΦεύγει χαμένος ο καιρόςΕίναι ο χρόνος ο πιο ύπουλος εχθρόςΠιάσε απ το χέρι τη ζωήΚι αν το σκοτάδι είναι γύρω σου βαθύΟ ήλιος πάλι θα βγει",,,,"αν θες να δεις τα θαύματα να παίρνουνε μορφήράψε όλα σου τα τραύματα μόνος με μιας ψυχής κλωστήφεύγει χαμένος ο καιρόςείναι ο χρόνος ο πιο ύπουλος εχθρόςπιάσε απ το χέρι τη ζωήκι αν το σκοτάδι είναι γύρω σου βαθύο ήλιος πάλι θα βγει",1,"FP",
4144,"tweet2463","X",0,"2020-09-19 18:26:47","🇬🇷Dos fallecidos y un desaparecido por el temporal provocado en Grecia por el #Medicane #Ianos

Cientos de personas han tenido que ser rescatadas.

https://t.co/YEkcNYPQuU","Δύο νεκρός και ένας εξαφανίστηκε από την καταιγίδα που προκλήθηκε στην Ελλάδα από το #Medicane #IANOS εκατοντάδες άνθρωποι έπρεπε να διασωθούν.",,,,"δύο νεκρός και ένας εξαφανίστηκε από την καταιγίδα που προκλήθηκε στην ελλάδα από το medicane ianos εκατοντάδες άνθρωποι έπρεπε να διασωθούν",0,"TN",
5851,"tweet4170","X",0,"2020-09-22 17:29:35","Hamburg ich komme – Καιρός https://t.co/UqRU5JexAw","Hamburg ich komme – Καιρός",,,,"hamburg ich komme καιρός",0,"TN","*"
4797,"tweet3116","X",0,"2020-09-20 16:32:58","Hurricane ""#Ianos” has left behind three dead, a missing person and huge damage to infrastructure, businesses, homes and agricultural production
#orthodox_times 
https://t.co/nHzT2PPsZq","Ο τυφώνας ""#IANOS"" έχει αφήσει πίσω τους τρεις νεκρούς, ένα αγνοούμενο άτομο και τεράστια ζημιά στην υποδομή, τις επιχειρήσεις, τα σπίτια και τη γεωργική παραγωγή#Orthodox_times",,,,"ο τυφώνας ianos έχει αφήσει πίσω τους τρεις νεκρούς ένα αγνοούμενο άτομο και τεράστια ζημιά στην υποδομή τις επιχειρήσεις τα σπίτια και τη γεωργική παραγωγή orthodox_times",0,"TN",
8972,"YouTube1615","YouTube",,"2020-09-19T05:45:00Z","Hat sich als nicht wirklich machbar heraus gestellt. ;-)) Anschließend dann noch ein wenig in Hamburg rumgeflogen, Sightseeing ... Im MS Flight Simulator mit Cessna im griechischen Wirbelsturm #Medicane #Ianos wirbeln","Αποδείχθηκε ότι δεν ήταν πραγματικά εφικτό. ·-)) Στη συνέχεια πετάχτηκε λίγο στο Αμβούργο, τα αξιοθέατα. Στον προσομοιωτή πτήσης MS με Cessna στην ελληνική κατακόρυφη καταιγίδα #Medicane #Ianos Whirling","Zgy-jv-Hfek",1,"na","αποδείχθηκε ότι δεν ήταν πραγματικά εφικτό στη συνέχεια πετάχτηκε λίγο στο αμβούργο τα αξιοθέατα στον προσομοιωτή πτήσης ms με cessna στην ελληνική κατακόρυφη καταιγίδα medicane ianos whirling",0,"TN",
4277,"tweet2596","X",0,"2020-09-19 22:19:07","Κάθε που ψυχραίνει ο καιρός όπως απόψε, σκέφτομαι πως δεν υπάρχει καλύτερη εποχή να ερωτευτείς, ποιο καλοκαίρι και κουραφέξαλα, σκοπός είναι ν' αναζητάς την αγκαλιά του άλλου.","Κάθε που ψυχραίνει ο καιρός όπως απόψε, σκέφτομαι πως δεν υπάρχει καλύτερη εποχή να ερωτευτείς, ποιο καλοκαίρι και κουραφέξαλα, σκοπός είναι ν' αναζητάς την αγκαλιά του άλλου.",,,,"κάθε που ψυχραίνει ο καιρός όπως απόψε σκέφτομαι πως δεν υπάρχει καλύτερη εποχή να ερωτευτείς ποιο καλοκαίρι και κουραφέξαλα σκοπός είναι ν αναζητάς την αγκαλιά του άλλου",0,"TN",
