"ID","source_id","source_type","unix_time","date_time","text","translated","photo_video_id","duplicate","photofilename","processed","predicted","score",
6193,"tweet4512","X",0,"2020-09-23 11:35:19","Καιρός: Αλλάζει ο καιρός την Τετάρτη με τον Σάκη Αρναούτογλου να προειδοποιεί για το ενδεχόμενο να σημειωθούν ισχυρές καταιγίδες.

Διαβάστε περισσότερα και δείτε το βίντεο στο https://t.co/LWIZuIR5FZ

Πηγή  #newsmag #sports #αθλητικά https://t.co/YFLFOA1MOU","Καιρός: Αλλάζει ο καιρός την Τετάρτη με τον Σάκη Αρναούτογλου να προειδοποιεί για το ενδεχόμενο να σημειωθούν ισχυρές καταιγίδες.Διαβάστε περισσότερα και δείτε το βίντεο στο #newsmag #sports #αθλητικά",,,,"καιρός αλλάζει ο καιρός την τετάρτη με τον σάκη αρναούτογλου να προειδοποιεί για το ενδεχόμενο να σημειωθούν ισχυρές καταιγίδες διαβάστε περισσότερα και δείτε το βίντεο στο newsmag sports αθλητικά",0,"FN",
4659,"tweet2978","X",0,"2020-09-20 13:13:55","Civil Defense Deputy Minister @nhardalias flies to Ionian Islands to assess damages

Crete hit by Ianos hurricane 

https://t.co/TPbPPGxSnM 

#Ianos","Ο αναπληρωτής υπουργός Πολιτικής Άμυνας @nhardalias πετάει στα νησιά του Ιονίου για να αξιολογήσει την καταστροφή που χτυπήθηκε από τον Ianos Hurricane #ianos",,,,"ο αναπληρωτής υπουργός πολιτικής άμυνας nhardalias πετάει στα νησιά του ιονίου για να αξιολογήσει την καταστροφή που χτυπήθηκε από τον ianos hurricane ianos",0,"TN",
2742,"tweet1061","X",0,"2020-09-18 10:15:55","#Medicane (Mediterranean 'hurricane') #Ianos still stalled off the W coast of Greece causing problems especially for the islands (Zakinthos, etc) ~ fallen trees &amp; so on. Expected to move east &amp; weaken as it makes landfall. #Athens ~ no rain yet ~ strong southerly winds. Cloudy. https://t.co/VOMf8Bqzln","#Medicane (Μεσογειακός «τυφώνας») #IANOS εξακολουθεί να σταματάει από την ακτή W της Ελλάδας που προκαλεί προβλήματα ειδικά για τα νησιά (Ζακιθός κ.λπ.) ~ Fallen Trees & Amp; Έτσι. Αναμένεται να μετακινηθεί ανατολικά & amp; αποδυναμώστε καθώς κάνει την ξηρά. #Athens ~ Δεν βροχή ακόμα ~ ισχυροί νότιοι άνεμοι. Νεφελώδης.",,,,"medicane μεσογειακός τυφώνας ianos εξακολουθεί να σταματάει από την ακτή w της ελλάδας που προκαλεί προβλήματα ειδικά για τα νησιά ζακιθός κ λπ fallen trees amp έτσι αναμένεται να μετακινηθεί ανατολικά amp αποδυναμώστε καθώς κάνει την ξηρά athens δεν βροχή ακόμα ισχυροί νότιοι άνεμοι νεφελώδης",0,"TN",
5369,"tweet3688","X",0,"2020-09-21 16:12:41","Es que te tienes que reír... es como cuando dicen que el metro es seguro porque aún no se han registrado brotes asociados al transporte público, claro, como pretendes asociarlos con millones de viajeros diarios?","Είναι ότι πρέπει να γελάσετε.",,,,"είναι ότι πρέπει να γελάσετε",0,"TN",
5205,"tweet3524","X",0,"2020-09-21 10:35:02","Ο καιρός σήμερα. Προετοιμάσου: https://t.co/NtuvLhVKYA","Ο καιρός σήμερα. Προετοιμάσου:",,,,"ο καιρός σήμερα προετοιμάσου",1,"TP",
8417,"YouTube1060","YouTube",,"2020-09-16T14:35:53Z","IBM's 4km GRAF simulation highlighting a rare tropical cyclone spawning over the Mediterranean Sea. These tropical cyclones ... Rare &quot;Medicane&quot; in the forecast!","Η προσομοίωση GRAF 4 χιλιομέτρων της IBM που υπογραμμίζει έναν σπάνιο τροπικό κυκλώνα που ωθείται πάνω από τη Μεσόγειο Θάλασσα. Αυτοί οι τροπικοί κυκλώνες. Σπάνια ""Medicane"" στην πρόβλεψη!","eEIPX8OR8mA",1,"na","η προσομοίωση graf 4 χιλιομέτρων της ibm που υπογραμμίζει έναν σπάνιο τροπικό κυκλώνα που ωθείται πάνω από τη μεσόγειο θάλασσα αυτοί οι τροπικοί κυκλώνες σπάνια medicane στην πρόβλεψη",1,"TP",
897,"''2401947348709561493","instagram",1600554458,"2020-09-19 22:27:38","Cefalonia è stata colpita duramente dall'uragano Ianos.\nAttività e ospiti sull'isola stanno vivendo momenti difficili ma l'emergenza viene gestita nel miglior modo possibile. Acqua ed elettricità vengono ripristinate in queste ore, detriti ed alberi richiederanno più tempo ma possiamo contare sul supporto dei volontari e dell'esercito. \nPer quanto riguarda la nostra agenzia, in questi ultimi giorni le parti si sono invertite e siamo stati noi a ricevere attenzioni dai nostri ospiti per cui siamo davvero molto grati.\nUn abbraccio a tutti da Cefalonia, un pochino disastrata ma già al lavoro per riaccogliervi presto! \n\n#kefalonialiving #livingkefalonia #grecia2020 #medicane #ianos #kefaloniagreece #seeyousoon #cefalonia #ridersofthestorm #doutdes #filoxenia #greekhospitality","Η Kefalonia έχει πληγεί σκληρά από τον τυφώνα Ianos. Το νερό και η ηλεκτρική ενέργεια αποκαθίστανται σε αυτές τις ώρες, τα συντρίμμια και τα δέντρα θα διαρκέσουν περισσότερο, αλλά μπορούμε να υπολογίζουμε στην υποστήριξη εθελοντών και του στρατού. Όσον αφορά την υπηρεσία μας, τις τελευταίες ημέρες, τα κόμματα έχουν αντιστραφεί και έχουμε λάβει την προσοχή από τους καλεσμένους μας για τους οποίους είμαστε πραγματικά ευγνώμονες. σύντομα! \ n #n #kefalonialiving #livingkelonia #greecia2020 #Medicane #IANOS #KEFALONIAGREECE #SEEYUSOON #CEFALONIA #RIDERERSOFTHESTORM #DOUTES #Filoxenia #GReeKHOspitality",,,"119712848_974876853022764_3852253042105676330_n.jpg","η kefalonia έχει πληγεί σκληρά από τον τυφώνα ianos το νερό και η ηλεκτρική ενέργεια αποκαθίστανται σε αυτές τις ώρες τα συντρίμμια και τα δέντρα θα διαρκέσουν περισσότερο αλλά μπορούμε να υπολογίζουμε στην υποστήριξη εθελοντών και του στρατού όσον αφορά την υπηρεσία μας τις τελευταίες ημέρες τα κόμματα έχουν αντιστραφεί και έχουμε λάβει την προσοχή από τους καλεσμένους μας για τους οποίους είμαστε πραγματικά ευγνώμονες σύντομα n n kefalonialiving livingkelonia greecia2020 medicane ianos kefaloniagreece seeyusoon cefalonia riderersofthestorm doutes filoxenia greekhospitality",0,"TN",
1878,"tweet197","X",0,"2020-09-16 22:36:40","It’s coming..🌪 #Ianos #ιανος #mediterranean #Cyclone  #storm #greece https://t.co/MtXo45lOil","Έρχεται.",,,,"έρχεται",0,"TN",
4159,"tweet2478","X",0,"2020-09-19 18:56:46","#Ιανός: Τα 9 #μέτρα που ανακοινώθηκαν για τους #πληγέντες:
https://t.co/HrioD8LjOk 
#καιρος #κλιμα #καταστροφες #ενισχυση #αποκατασταση","#Ιανός: Τα 9 #μέτρα που ανακοινώθηκαν για τους #πληγέντες: #καιρος #κλιμα #καταστροφες #ενισχυση #αποκατασταση",,,,"ιανός τα 9 μέτρα που ανακοινώθηκαν για τους πληγέντες καιρος κλιμα καταστροφες ενισχυση αποκατασταση",0,"TN",
8026,"YouTube669","YouTube",,"2020-10-10T08:53:36Z","États-Unis : l&#39;ouragan Delta a touché terre en Louisiane L'ouragan #Delta atteint la Louisiane aux États-Unis six semaines après la tempête #Laura. LIRE L'ARTICLE ...","Ηνωμένες Πολιτείες: Ο τυφώνας Delta άγγιξε το Terre στη Λουιζιάνα Ο τυφώνας #Delta φτάνει στη Λουιζιάνα στις Ηνωμένες Πολιτείες έξι εβδομάδες μετά την καταιγίδα #Laura. Διαβάστε το άρθρο.","UcupdpS_SWQ",1,"na","ηνωμένες πολιτείες ο τυφώνας delta άγγιξε το terre στη λουιζιάνα ο τυφώνας delta φτάνει στη λουιζιάνα στις ηνωμένες πολιτείες έξι εβδομάδες μετά την καταιγίδα laura διαβάστε το άρθρο",0,"TN",
