ID,source_id,source_type,text,translated,photo_video_id,duplicate,photofilename,processed,predicted,SCORE,COMMENT
5136,tweet3455,X,Ο καιρός σήμερα Δευτέρα και όλη την εβδομάδα https://t.co/0F4dCs1p3b,Ο καιρός σήμερα Δευτέρα και όλη την εβδομάδα,,,,ο καιρός σήμερα δευτέρα και όλη την εβδομάδα,0,TN,
3796,tweet2115,X,"@kostassyl Πωπω, διαβάζω μεγάλες ζημιές στην Καρδίτσα...","kostassyl Πωπω, διαβάζω μεγάλες ζημιές στην Καρδίτσα.",,,,kostassyl πωπω διαβάζω μεγάλες ζημιές στην καρδίτσα,1,TP,
6765,Flickr217,Flickr,"Entergy’s Hurricane Laura information website provides customers with storm restoration and recovery updates. Visit the site at <a href=""https://entergy.com/hurricanelaura"" rel=""noreferrer nofollow"">entergy.com/hurricanelaura</a>",Η ιστοσελίδα Information Information της Entergy της Entergy παρέχει στους πελάτες ενημερώσεις αποκατάστασης και αποκατάστασης καταιγίδων. Επισκεφθείτε τον ιστότοπο στο hurricanelaura,50316517427,,50316517427.jpg,η ιστοσελίδα information information της entergy της entergy παρέχει στους πελάτες ενημερώσεις αποκατάστασης και αποκατάστασης καταιγίδων επισκεφθείτε τον ιστότοπο στο hurricanelaura,1,TP,
7995,YouTube638,YouTube,Σε επιφυλακή οι υπηρεσίες στην Κρήτη | Μεσημεριανό Δελτίο Ειδήσεων 20/9/2020 | OPEN TV Subscribe to OPEN: http://bit.ly/2uV7vyj Σε επιφυλακή οι υπηρεσίες στην Κρήτη | Μεσημεριανό Δελτίο Ειδήσεων 20/9/2020 | OPEN ...,Σε επιφυλακή οι υπηρεσίες στην Κρήτη | Μεσημεριανό Δελτίο Ειδήσεων 20/9/2020 | OPEN TV Subscribe to OPEN: Σε επιφυλακή οι υπηρεσίες στην Κρήτη | Μεσημεριανό Δελτίο Ειδήσεων 20/9/2020 | OPEN.,SuNY1OQnHFM,1,na,σε επιφυλακή οι υπηρεσίες στην κρήτη μεσημεριανό δελτίο ειδήσεων 20 9 2020 open tv subscribe to open σε επιφυλακή οι υπηρεσίες στην κρήτη μεσημεριανό δελτίο ειδήσεων 20 9 2020 open,0,FN,
3886,tweet2205,X,@koulnek Κι ακομη που εισαι... αν συμπεριφερονται ως κακομαθημενα 5χρονα καιρος να ενηλικιωθουν,koulnek Κι ακομη που εισαι.αν συμπεριφερονται ως κακομαθημενα 5χρονα καιρος να ενηλικιωθουν,,,,koulnek κι ακομη που εισαι αν συμπεριφερονται ως κακομαθημενα 5χρονα καιρος να ενηλικιωθουν,0,TN,
7236,Flickr688,Flickr,So many reds this year!,Τόσοι πολλοί κόκκινες φέτος!,50532984246,,50532984246.jpg,τόσοι πολλοί κόκκινες φέτος,0,TN,
4886,tweet3205,X,@Krouelaki Ίσως για αυτό χάλασε ο καιρός.Αντε τώρα το καλοκαίρι ξανα μην το ξεχάσεις.,Krouelaki Ίσως για αυτό χάλασε ο καιρός.Αντε τώρα το καλοκαίρι ξανα μην το ξεχάσεις.,,,,krouelaki ίσως για αυτό χάλασε ο καιρός αντε τώρα το καλοκαίρι ξανα μην το ξεχάσεις,0,TN,
2011,tweet330,X,"@iCyclone and @TropicalTidbits  you want to see something very weird?
Look at that: https://t.co/U4efjvvpqs

It's called a medicane (for Mediterranean hurricane) and has a form very close to tropical hurricane
#Udine/#Ianos #medicane",iCyClone και @TropicalTidBits Θέλετε να δείτε κάτι πολύ περίεργο; Κοιτάξτε αυτό: που ονομάζεται Medicane (για μεσογειακό τυφώνα) και έχει μια μορφή πολύ κοντά στον τροπικό τυφώνα#udine/#anos #Medicane,,,,icyclone και tropicaltidbits θέλετε να δείτε κάτι πολύ περίεργο κοιτάξτε αυτό που ονομάζεται medicane για μεσογειακό τυφώνα και έχει μια μορφή πολύ κοντά στον τροπικό τυφώνα udine anos medicane,0,FN,
4372,tweet2691,X,Γενικά αίθριος καιρός https://t.co/cWylbMYHKY,Γενικά αίθριος καιρός,,,,γενικά αίθριος καιρός,0,TN,
909,''2401128981415114506,instagram,Friends#snake#little black riding hood#KLX#ianos#bad weather#one for all and all for one🙄,Φίλοι#φίδι#Little Black Riding Hood#KLX#Ianos#Bad Weather#One για όλους και όλα για ένα,,,119711047_128838571937860_5192727686484613510_n.jpg,φίλοι φίδι little black riding hood klx ianos bad weather one για όλους και όλα για ένα,0,TN,
2365,tweet684,X,"Prevenir es actuar.
#medicane #Ianos
Se esperan fuertes lluvias y vientos sobre el litoral occidental griego por la llegada del potente y peligroso huracán mediterráneo formado al sur del Adriático
@windyforecast
@severeweatherEU
@InfoEmerg
@MeteoIB3
@EPBaleares
@MeteoMauri https://t.co/z9DzXylteZ",Η πρόληψη ενεργεί.,,,,η πρόληψη ενεργεί,0,TN,
7013,Flickr465,Flickr,Medicane Ianos 2020 Mediterranean Hurricane,Medicane Ianos 2020 Μεσογειακός τυφώνας,50373904927,,50373904927.jpg,medicane ianos 2020 μεσογειακός τυφώνας,0,TN,
1064,''2402262229633556299,instagram,#ierapetra #ianos #instagood #instagreece,#Ierapetra #ianos #instagood #instagreece,,,119702541_2481894968776312_4732575981674837698_n.jpg,ierapetra ianos instagood instagreece,0,TN,
5997,tweet4316,X,@EyrenErin Ya listo..... copiado......10/4..... saludos 🤣🤣🤣🤣,Η Eyrenerin είναι ήδη έτοιμη,,,,η eyrenerin είναι ήδη έτοιμη,0,TN,
1096,''2401909509545314714,instagram,Let's play and have fun!! #weddingday #ianos&covid2020#photostudio#photostudiotselikis #photography #lovemyjob #collectimage#creatememories,Ας παίξουμε και να διασκεδάσουμε !! #weddingday #anos & covid2020 #photostudio #photostudiotselikis #Photography #lovemyjob #collectimage #creatememories,,,119700485_119241816397777_9069311825914509943_n.jpg,ας παίξουμε και να διασκεδάσουμε weddingday anos covid2020 photostudio photostudiotselikis photography lovemyjob collectimage creatememories,0,TN,
5761,tweet4080,X,@Silver_Spidey @SotiStra Χθες εμενα μου είπαν εδω μεσα σωπα ρε κοντεύεις να μπεις στον μηνα σου ποτε περασε ο καιρος. Και μετα η σωτη ακομα μας βριζει που της λεμε πως κράτησε 3μιση αιωνες,Silver_Spidey @SotiStra Χθες εμενα μου είπαν εδω μεσα σωπα ρε κοντεύεις να μπεις στον μηνα σου ποτε περασε ο καιρος. Και μετα η σωτη ακομα μας βριζει που της λεμε πως κράτησε 3μιση αιωνες,,,,silver_spidey sotistra χθες εμενα μου είπαν εδω μεσα σωπα ρε κοντεύεις να μπεις στον μηνα σου ποτε περασε ο καιρος και μετα η σωτη ακομα μας βριζει που της λεμε πως κράτησε 3μιση αιωνες,0,TN,
3476,tweet1795,X,"@LaTabuda Ya, te prometo no reírme de tus tik toks. Saludos","LateBuda ήδη, υπόσχομαι να μην γελάσω τα toks σας. Χαιρετίσματα",,,,latebuda ήδη υπόσχομαι να μην γελάσω τα toks σας χαιρετίσματα,0,TN,
2574,tweet893,X,Καιρός σήμερα: Ισχυρές βροχές και καταιγίδες https://t.co/du0asil8Ul,Καιρός σήμερα: Ισχυρές βροχές και καταιγίδες,,,,καιρός σήμερα ισχυρές βροχές και καταιγίδες,0,TN,
5617,tweet3936,X,Ο καιρός στη Μακεδονία και τη Θράκη - https://t.co/steOWNKFrt https://t.co/RHTneBpwmT,Ο καιρός στη Μακεδονία και τη Θράκη -,,,,ο καιρός στη μακεδονία και τη θράκη,0,TN,
6328,tweet4647,X,Καιρός στην Αθήνα: 30άρια με βροχές την Πέμπτη - Θερμοκρασίες και χάρτες ανά περιοχή https://t.co/VhiTBTw2Dl,Καιρός στην Αθήνα: 30άρια με βροχές την Πέμπτη - Θερμοκρασίες και χάρτες ανά περιοχή,,,,καιρός στην αθήνα 30άρια με βροχές την πέμπτη θερμοκρασίες και χάρτες ανά περιοχή,0,TN,
7589,YouTube232,YouTube,"Ιανός: Στην Κρήτη ο Μεσογειακός Κυκλώνας || Allnews24.gr Ο αρθρογράφος του Αllnews24.gr, Παναγιώτης Μιχελάκος, κάλυψε την κατάσταση που επικρατεί, με τον Ιανό, σήμερα στο ...","Ιανός: Στην Κρήτη ο Μεσογειακός Κυκλώνας || Allnews24.gr Ο αρθρογράφος του Αllnews24.gr, Παναγιώτης Μιχελάκος, κάλυψε την κατάσταση που επικρατεί, με τον Ιανό, σήμερα στο.",DQaklqGtXmU,1,na,ιανός στην κρήτη ο μεσογειακός κυκλώνας allnews24 gr ο αρθρογράφος του αllnews24 gr παναγιώτης μιχελάκος κάλυψε την κατάσταση που επικρατεί με τον ιανό σήμερα στο,1,TP,
3856,tweet2175,X,@kostassyl Είδα εικόνες αλλά ήθελα να ελαφρύνει λίγο η ατμόσφαιρα. Μεγάλες ζημιές;,kostassyl Είδα εικόνες αλλά ήθελα να ελαφρύνει λίγο η ατμόσφαιρα. Μεγάλες ζημιές;,,,,kostassyl είδα εικόνες αλλά ήθελα να ελαφρύνει λίγο η ατμόσφαιρα μεγάλες ζημιές,0,FN,*
3335,tweet1654,X,"@Spanopeleni Παραλήρημα, όσο περνάει ο καιρός χειροτερεύει η κατάσταση.....","Spanopeleni Παραλήρημα, όσο περνάει ο καιρός χειροτερεύει η κατάσταση.",,,,spanopeleni παραλήρημα όσο περνάει ο καιρός χειροτερεύει η κατάσταση,0,TN,*
4789,tweet3108,X,Ιανός : Ζημιές από την κακοκαιρία στην ακριτική Γαύδο https://t.co/ymWjER1JXo,Ιανός : Ζημιές από την κακοκαιρία στην ακριτική Γαύδο,,,,ιανός ζημιές από την κακοκαιρία στην ακριτική γαύδο,1,TP,
7689,YouTube332,YouTube,200919_NWSU_13240399_13241330_60000_190302_el ΔΙΑΒΑΣΤΕ ΕΠΙΣΗΣ : https://gr.euronews.com/1970/01/01/ Γίνε συνδρομητής!,200919_NWSU_13240399_13241330_60000_190302_EL ΔΙΑΒΑΣΤΕ ΕΠΙΣΗΣ : Γίνε συνδρομητής!,hOejuRlTdpI,1,na,200919_nwsu_13240399_13241330_60000_190302_el διαβαστε επισης γίνε συνδρομητής,0,TN,
