Unnamed: 0,id,source_id_x,source_type,unix_time,date_time,text,translated,photo_video_id,photofilename_x,photofilename_y,identification,consequences,dm,weather,emotions_opinions_etc,related,Filled,duplid,duplicate,nlp2,translated2,translated_previous
613,659,tweet2661,X,1600563093,2020-09-20 00:51:33,"🚨🌀🌍⚠️🇪🇺#Alpha
Europa también sufre el #CambioClimático
La semana pasada fue el #Medicane #Ianos en #Italia y #Grecia, y #ahora la Tormenta Subtropical Alpha que nació y murió en la península Ibérica https://t.co/Zd7qcS1LCA","Το #AlphaeuRopa υποφέρει επίσης #changeoclimáticola την περασμένη εβδομάδα ήταν το #Medicane #IANOS στην #Italia και #GRECIA, και #ahora η υποτροπική άλφα καταιγίδα που γεννήθηκε και πέθανε στην Ιβηρική Χερσόνησο",,,,1,0,1,0,1,0,2,"16005630932020-09-20 00:51:33🚨🌀🌍⚠️🇪🇺#Alpha
Europa también sufre el #CambioClimático
La semana pasada fue el #Medicane #Ianos en #Italia y #Grecia, y #ahora la Tormenta Subtropical Alpha que nació y murió en la península Ibérica https://t.co/Zd7qcS1LCAX",0,"#AlphaEuropa también sufre el #CambioClimáticoLa semana pasada fue el #Medicane #Ianos en #Italia y #Grecia, y #ahora la Tormenta Subtropical Alpha que nació y murió en la península Ibérica","Το #AlphaeuRopa υποφέρει επίσης #changeoclimáticola την περασμένη εβδομάδα ήταν το #Medicane #IANOS στην #Italia και #GRECIA, και #ahora η υποτροπική άλφα καταιγίδα που γεννήθηκε και πέθανε στην Ιβηρική Χερσόνησο","Επίσης, την περασμένη εβδομάδα υπέφερε και η υποτροπική καταιγίδα Άλφα που γεννήθηκε και πέθανε στην Ιβηρική Χερσόνησο #AlphaEuropa #CambioClimáticoLa #Medicane #Ianos #Italia #Grecia #ahora"
187,374,tweet738,X,1600379243,2020-09-17 21:47:23,"Medicane #Ianos (#Cassilda, #Janus, #Udine)
Follow my lists for more news:
GREECE https://t.co/b8OuFob3uN
WEATHER https://t.co/nPeMBfdTPL 
*Web: Can't see a list? Refresh the page.
*Mobile &amp; Tweetdeck: Click lists on web instead.","Medicane #IANOS (#Cassilda, #Janus, #Udine) Ακολουθήστε τις λίστες μου για περισσότερες ειδήσεις: Ελλάδα *Web: Δεν μπορείτε να δείτε μια λίστα; Ανανέωση της σελίδας.*Mobile & amp; TweetDeck: Κάντε κλικ στην επιλογή Λίστες στο διαδίκτυο.",,,,1,0,0,0,1,0,1,"16003792432020-09-17 21:47:23Medicane #Ianos (#Cassilda, #Janus, #Udine)
Follow my lists for more news:
GREECE https://t.co/b8OuFob3uN
WEATHER https://t.co/nPeMBfdTPL 
*Web: Can't see a list? Refresh the page.
*Mobile &amp; Tweetdeck: Click lists on web instead.X",0,"Medicane #Ianos (#Cassilda, #Janus, #Udine)Follow my lists for more news:GREECE *Web: Can't see a list? Refresh the page.*Mobile &amp; Tweetdeck: Click lists on web instead.","Medicane #IANOS (#Cassilda, #Janus, #Udine) Ακολουθήστε τις λίστες μου για περισσότερες ειδήσεις: Ελλάδα *Web: Δεν μπορείτε να δείτε μια λίστα; Ανανέωση της σελίδας.*Mobile & amp; TweetDeck: Κάντε κλικ στην επιλογή Λίστες στο διαδίκτυο.","Medicane (, , )Ακολουθήστε τις λίστες μου για περισσότερα νέα:ΕΛΛΑΔΑ *Ιστός: Δεν μπορείτε να δείτε μια λίστα; Ανανεώστε τη σελίδα.*Κινητά &amp; Tweetdeck: Αντ' αυτού, κάντε κλικ στις λίστες στον ιστό. #Ianos #Cassilda #Janus #Udine"
1211,1240,YouTube138,YouTube,,2020-09-20T16:42:01Z,Subscribe to OPEN: http://bit.ly/2uV7vyj Κακοκαιρία «Ιανός»: Επιχείρηση διάσωσης ηλικιωμένης με βάρκα στα Ορφανά Καρδίτσας ...,Subscribe to OPEN: Κακοκαιρία «Ιανός»: Επιχείρηση διάσωσης ηλικιωμένης με βάρκα στα Ορφανά Καρδίτσας.,M2XnJ-ddbEg,,,0,1,1,0,0,1,,2020-09-20T16:42:01ZSubscribe to OPEN: http://bit.ly/2uV7vyj Κακοκαιρία «Ιανός»: Επιχείρηση διάσωσης ηλικιωμένης με βάρκα στα Ορφανά Καρδίτσας ...YouTube,0,Subscribe to OPEN: Κακοκαιρία «Ιανός»: Επιχείρηση διάσωσης ηλικιωμένης με βάρκα στα Ορφανά Καρδίτσας.,Subscribe to OPEN: Κακοκαιρία «Ιανός»: Επιχείρηση διάσωσης ηλικιωμένης με βάρκα στα Ορφανά Καρδίτσας.,Subscribe to OPEN: http://bit.ly/2uV7vyj Κακοκαιρία «Ιανός»: Επιχείρηση διάσωσης ηλικιωμένης με βάρκα στα Ορφανά Καρδίτσας ...
1218,1163,YouTube61,YouTube,,2020-09-28T19:00:10Z,A strong tropical storm occurred in the Mediterranean Sea in September 2020. The storm struck the western coast of Greece ...,Μια ισχυρή τροπική καταιγίδα συνέβη στη Μεσόγειο Θάλασσα τον Σεπτέμβριο του 2020. Η καταιγίδα χτύπησε τη δυτική ακτή της Ελλάδας.,mp89bv0PWDQ,,,0,0,1,0,0,1,,2020-09-28T19:00:10ZA strong tropical storm occurred in the Mediterranean Sea in September 2020. The storm struck the western coast of Greece ...YouTube,0,A strong tropical storm occurred in the Mediterranean Sea in September 2020. The storm struck the western coast of Greece.,Μια ισχυρή τροπική καταιγίδα συνέβη στη Μεσόγειο Θάλασσα τον Σεπτέμβριο του 2020. Η καταιγίδα χτύπησε τη δυτική ακτή της Ελλάδας.,A strong tropical storm occurred in the Mediterranean Sea in September 2020. The storm struck the western coast of Greece ...
1126,1213,YouTube111,YouTube,,2020-09-17T16:08:58Z,Ianos #Medicane #Cassilda Congrats CyclongTracking OZ to achieve 1000subs! It is a very good channel that put a lot of update ...,Ianos #Medicane #Cassilda Συγχαρητήρια Cyclongtracking Oz για να επιτύχει 1000subs! Είναι ένα πολύ καλό κανάλι που έθεσε πολλή ενημέρωση.,QRGwFaqgv8U,,,1,0,0,0,1,1,,2020-09-17T16:08:58ZIanos #Medicane #Cassilda Congrats CyclongTracking OZ to achieve 1000subs! It is a very good channel that put a lot of update ...YouTube,0,Ianos #Medicane #Cassilda Congrats CyclongTracking OZ to achieve 1000subs! It is a very good channel that put a lot of update.,Ianos #Medicane #Cassilda Συγχαρητήρια Cyclongtracking Oz για να επιτύχει 1000subs! Είναι ένα πολύ καλό κανάλι που έθεσε πολλή ενημέρωση.,Ianos #Medicane #Cassilda Congrats CyclongTracking OZ to achieve 1000subs! It is a very good channel that put a lot of update ...
414,216,''2401196982464811175,instagram,1600465008,2020-09-18 21:36:48,Windy night...goodmorning!!!\n#ianos \n#artemidacruises \n#windynight\n#summer2020,Windy Night.Goodmorning !!! \ n#anos \ n#artemidacruises \ n#windynight \ n#summer2020,,119633600_353084825912605_8112167268732807183_n.jpg,119633600_353084825912605_8112167268732807183_n.jpg,1,0,1,1,0,0,3,16004650082020-09-18 21:36:48Windy night...goodmorning!!!\n#ianos \n#artemidacruises \n#windynight\n#summer2020instagram,0,Windy night.goodmorning!!!\n#ianos \n#artemidacruises \n#windynight\n#summer2020,Windy Night.Goodmorning !!! \ n#anos \ n#artemidacruises \ n#windynight \ n#summer2020,Windy Night.Goodmorning !!! \ n \ n \ n \ n #ianos #artemidacruises #windynight #summer2020
1072,1095,Flickr759,Flickr,1604067642,2020-10-30 16:20:42,"This is the last photo of our one week trip to the isle of Terschelling...

if you like to see it chronologically, you can have a look at my album: 
<a href=""https://www.flickr.com/photos/meritdejong/albums/72157716263138773"">www.flickr.com/photos/meritdejong/albums/72157716263138773</a>
","Αυτή είναι η τελευταία φωτογραφία του ταξιδιού μιας εβδομάδας στο Isle of Terschelling. Αν θέλετε να το δείτε χρονολογικά, μπορείτε να ρίξετε μια ματιά στο άλμπουμ μου: <a href = """,50547815356,50547815356.jpg,50547815356.jpg,0,0,0,0,0,1,1,"16040676422020-10-30 16:20:42This is the last photo of our one week trip to the isle of Terschelling...

if you like to see it chronologically, you can have a look at my album: 
<a href=""https://www.flickr.com/photos/meritdejong/albums/72157716263138773"">www.flickr.com/photos/meritdejong/albums/72157716263138773</a>
Flickr",0,"This is the last photo of our one week trip to the isle of Terschelling.if you like to see it chronologically, you can have a look at my album: <a href=""","Αυτή είναι η τελευταία φωτογραφία του ταξιδιού μιας εβδομάδας στο Isle of Terschelling. Αν θέλετε να το δείτε χρονολογικά, μπορείτε να ρίξετε μια ματιά στο άλμπουμ μου: <a href = ""","Αυτή είναι η τελευταία φωτογραφία του ταξιδιού μας μιας εβδομάδας στο νησί Terschelling. Αν θέλετε να τη δείτε χρονολογικά, μπορείτε να ρίξετε μια ματιά στο άλμπουμ μου: <a href="" "
1079,1216,YouTube114,YouTube,,2016-11-01T10:03:58Z,Medicane 31/10/2016 satellite loop 2,Medicane 31/10/2016 Δορυφορικός βρόχος 2,hNVzFeTCXz0,,,0,0,1,1,0,1,,2016-11-01T10:03:58ZMedicane 31/10/2016 satellite loop 2YouTube,0,Medicane 31/10/2016 satellite loop 2,Medicane 31/10/2016 Δορυφορικός βρόχος 2,Medicane 31/10/2016 satellite loop 2
286,444,tweet1238,X,1600432621,2020-09-18 12:37:01,"Al llarg del matí el #medicane #Ianos ha colpejat les costes del nord del #Peloponès. Per ara està deixant fortes pluges i ràfegues de vent superiors als 130 km/h. A més, el nivell del mar ha augmentat i s'estan donant inundacions a zones costaneres. +info a l'oratge de les 15 h. https://t.co/ByWJHbRFIo","Καθ 'όλη τη διάρκεια του πρωινού, το #Medicane #IANOS έχει χτυπήσει το κόστος του βορρά του #Peloponnese. Προς το παρόν αφήνει έντονες βροχές και ριπές ανέμου άνω των 130 χλμ./H. Επιπλέον, η στάθμη της θάλασσας έχει αυξηθεί και πλημμυρίζει στις παράκτιες περιοχές. +Πληροφορίες στον καιρό στις 3 μ.μ.",,,,1,0,1,1,1,0,4,"16004326212020-09-18 12:37:01Al llarg del matí el #medicane #Ianos ha colpejat les costes del nord del #Peloponès. Per ara està deixant fortes pluges i ràfegues de vent superiors als 130 km/h. A més, el nivell del mar ha augmentat i s'estan donant inundacions a zones costaneres. +info a l'oratge de les 15 h. https://t.co/ByWJHbRFIoX",0,"Al llarg del matí el #medicane #Ianos ha colpejat les costes del nord del #Peloponès. Per ara està deixant fortes pluges i ràfegues de vent superiors als 130 km/h. A més, el nivell del mar ha augmentat i s'estan donant inundacions a zones costaneres. +info a l'oratge de les 15 h.","Καθ 'όλη τη διάρκεια του πρωινού, το #Medicane #IANOS έχει χτυπήσει το κόστος του βορρά του #Peloponnese. Προς το παρόν αφήνει έντονες βροχές και ριπές ανέμου άνω των 130 χλμ./H. Επιπλέον, η στάθμη της θάλασσας έχει αυξηθεί και πλημμυρίζει στις παράκτιες περιοχές. +Πληροφορίες στον καιρό στις 3 μ.μ.","Το πρωί έπληξε τις βόρειες ακτές του . Προς το παρόν αφήνει δυνατή βροχή και ριπές ανέμου άνω των 130 km/h. Επιπλέον, η στάθμη της θάλασσας έχει ανέβει και οι παράκτιες περιοχές πλημμυρίζουν. +πληροφορίες στις 3 μ.μ. #medicane #Ianos #Peloponès"
771,776,tweet3536,X,1600685325,2020-09-21 10:48:45,"@PatrickBatem Ολόκληρο το νησί χτυπήθηκε,  μεγαλύτερες ζημιές στη βόρεια κεφαλονια . Το οδικό δίκτυο στο σύνολο του έχει τεράστιες ζημιές.","PatrickBatem Ολόκληρο το νησί χτυπήθηκε, μεγαλύτερες ζημιές στη βόρεια κεφαλονια . Το οδικό δίκτυο στο σύνολο του έχει τεράστιες ζημιές.",,,,0,1,1,0,0,0,2,"16006853252020-09-21 10:48:45@PatrickBatem Ολόκληρο το νησί χτυπήθηκε,  μεγαλύτερες ζημιές στη βόρεια κεφαλονια . Το οδικό δίκτυο στο σύνολο του έχει τεράστιες ζημιές.X",0,"PatrickBatem Ολόκληρο το νησί χτυπήθηκε, μεγαλύτερες ζημιές στη βόρεια κεφαλονια . Το οδικό δίκτυο στο σύνολο του έχει τεράστιες ζημιές.","PatrickBatem Ολόκληρο το νησί χτυπήθηκε, μεγαλύτερες ζημιές στη βόρεια κεφαλονια . Το οδικό δίκτυο στο σύνολο του έχει τεράστιες ζημιές.","PatrickBatem Ολόκληρο το νησί χτυπήθηκε, μεγαλύτερες ζημιές στη βόρεια κεφαλονια . Το οδικό δίκτυο στο σύνολο του έχει τεράστιες ζημιές. "
